Moda,Muzyka,Film,Sport_u,Sport_o,Komputer,Samochod,Literatura,Smak,Wolny_czas,Miasto,Kraj,Wzrost,WÅ‚osy,Okulary,Przedmiot,Gra,Wf,Sniadanie,Kino_teatr,Pora,Ksiazki,Gotowanie,Zajecie,Media_u,Technologie,Powietrze,Fryzura,Media_k,Paznokcie,Wakacje,Rod_prz_sam,gry_czas,Jedzenie,Wartosc,Napoj,Dom,Zwierzak,Plec
Casual,hip-hop,dramat,silownia (fitness),skoki narciarskie,Apple,Toyota,powiesc,slodkie,spaceruje,Wroclaw,Japonia,174.0,blond,tak,biologia,strategiczne,2h,tak,tak,zima,ebooki,Tak,sluchanie muzyki,Instagram,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Raz w tygodniu,Domowe jedzenie,Kariera,kawa,salon,kot,mezczyzna
nie dbam o mode,hip-hop,fantasy,siatkowka,skoki narciarskie,Lenovo,Toyota,opowiadanie,slodkie,spie,Poznan,Australia,197.5,siwe,nie,fizyka,strategiczne,0 h,tak,nie,wiosna,ebooki,Tak,Gry komputerowe,nie uzywam,tak,Codziennie,nie,Rzadko,nie,Praca,Przyjaciele,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Przyjazn,woda,lazienka,pies,mezczyzna
Casual,Rock,komedia,pilka nozna,skoki narciarskie,Lenovo,Ford,powiesc,slodkie,spaceruje,Wroclaw,Polska,186.0,szatyn,tak,matematyka,strzelanki,1h,tak,tak,lato,ksiazki papierowe,Tak,Sport,Facebook,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Rodzina,Raz w tygodniu,Kuchnia miedzynarodowa,Rodzina,woda,pokoj,kot,mezczyzna
Casual,Rock,dramat,silownia (fitness),hokej na lodzie,Lenovo,Toyota,powiesc,slone,spie,Poznan,Polska,186.0,blond,nie,matematyka,strategiczne,2h,tak,tak,wiosna,ksiazki papierowe,Tak,Gry komputerowe,TikTok,tak,Kilka razy w tygodniu,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Przyjazn,woda,pokoj,kot,mezczyzna
Casual,hip-hop,fantasy,silownia (fitness),skoki narciarskie,Apple,Audi,powiesc,slone,czytam,Warszawa,Polska,183.0,czarny,tak,matematyka,przygodowe,1h,tak,nie,lato,ksiazki papierowe,Tak,Gry komputerowe,Instagram,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,Domowe jedzenie,Kariera,woda,pokoj,kot,mezczyzna
nie dbam o mode,hip-hop,komedia,pilka nozna,skoki narciarskie,Dell,BMW,powiesc,slone,spie,Warszawa,Polska,185.0,szatyn,nie,matematyka,strzelanki,2h,nie,nie,zima,ksiazki papierowe,Tak,Gry komputerowe,Facebook,tak,Kilka razy w tygodniu,nie,Codziennie,nie,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Kariera,herbata,pokoj,pies,mezczyzna
nie dbam o mode,Klasyczna,fantasy,plywanie,skoki narciarskie,Acer,BMW,opowiadanie,slone,czytam,Poznan,Japonia,169.0,blond,tak,biologia,strategiczne,1h,tak,nie,zima,ebooki,Tak,Czytanie,nie uzywam,tak,Codziennie,nie,Rzadko,tak,Praca,samotnie,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Przyjazn,soki,pokoj,pies,mezczyzna
nie dbam o mode,Klasyczna,horror,silownia (fitness),lyzwiarstwo figurowe,Lenovo,Citroen,bajka,slone,czytam,Wroclaw,Niemcy,159.0,szatyn,nie,matematyka,przygodowe,1h,tak,tak,zima,ksiazki papierowe,Tak,Czytanie,Facebook,nie,Kilka razy w tygodniu,nie,Kilka razy w tygodniu,nie,Podrozowanie,Rodzina,Rzadko,Domowe jedzenie,Rodzina,soki,salon,kot,kobieta
Casual,pop,fantasy,siatkowka,lyzwiarstwo figurowe,Lenovo,Ford,opowiadanie,kwasne,czytam,Wroclaw,Polska,167.0,blond,nie,matematyka,logiczne,1h,nie,tak,zima,ksiazki papierowe,Tak,Sport,Instagram,tak,Kilka razy w tygodniu,nie,Kilka razy w tygodniu,nie,Odpoczynek w domu,Przyjaciele,Rzadko,Kuchnia miedzynarodowa,Przyjazn,herbata,pokoj,kot,kobieta
Casual,hip-hop,kryminal,silownia (fitness),skoki narciarskie,Dell,BMW,powiesc,slodkie,spie,Wroclaw,Polska,170.0,szatyn,nie,matematyka,karciane,2h,tak,nie,lato,nie czytam,Tak,Sport,TikTok,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Rzadko,Domowe jedzenie,zdrowie,woda,pokoj,kot,kobieta
Elegancki,hip-hop,dramat,silownia (fitness),skoki narciarskie,Acer,BMW,opowiadanie,slone,spie,Warszawa,Japonia,188.0,blond,nie,chemia,strategiczne,2h,nie,tak,wiosna,ksiazki papierowe,Nie,sluchanie muzyki,Instagram,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Przyjazn,soki,pokoj,pies,mezczyzna
Elegancki,pop,komedia,plywanie,lyzwiarstwo figurowe,Apple,Audi,powiesc,slodkie,spie,Poznan,Polska,167.0,szatyn,tak,biologia,logiczne,0 h,tak,nie,lato,ksiazki papierowe,Tak,sluchanie muzyki,Instagram,tak,Rzadko,nie,Codziennie,tak,Podrozowanie,Rodzina,Rzadko,Kuchnia miedzynarodowa,Rodzina,woda,pokoj,pies,kobieta
Casual,Rock,dramat,plywanie,skoki narciarskie,Apple,Toyota,powiesc,kwasne,ide do kina,Gdansk,Niemcy,165.0,szatyn,nie,chemia,strzelanki,1h,tak,tak,lato,ksiazki papierowe,Tak,sluchanie muzyki,Instagram,nie,Codziennie,nie,Kilka razy w tygodniu,tak,Podrozowanie,Przyjaciele,Rzadko,Kuchnia miedzynarodowa,Przyjazn,woda,salon,pies,kobieta
Casual,pop,dramat,silownia (fitness),narciarstwo alpejskie,Dell,Audi,powiesc,slone,czytam,Gdansk,Niemcy,169.0,szatyn,nie,matematyka,logiczne,1h,tak,nie,zima,ksiazki papierowe,Tak,Czytanie,TikTok,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Rodzina,Rzadko,Domowe jedzenie,Rodzina,woda,salon,kot,kobieta
Casual,Rock,komedia,silownia (fitness),hokej na lodzie,Lenovo,Toyota,opowiadanie,slone,spaceruje,Poznan,Stany Zjednoczone,172.0,blond,nie,matematyka,logiczne,1h,tak,nie,lato,ksiazki papierowe,Tak,Sport,Instagram,nie,Kilka razy w tygodniu,nie,Kilka razy w tygodniu,tak,Podrozowanie,Przyjaciele,Rzadko,Kuchnia miedzynarodowa,Przyjazn,herbata,pokoj,kot,kobieta
Elegancki,punk,horror,silownia (fitness),lyzwiarstwo figurowe,Apple,Audi,powiesc,slodkie,spie,Gdansk,Japonia,173.0,blond,tak,matematyka,logiczne,1h,nie,tak,jesien,ksiazki papierowe,Nie,sluchanie muzyki,TikTok,tak,Kilka razy w tygodniu,tak,Codziennie,tak,Podrozowanie,samotnie,Raz w tygodniu,Kuchnia miedzynarodowa,Kariera,woda,pokoj,kot,kobieta
Elegancki,Rock,fantasy,silownia (fitness),hokej na lodzie,Dell,Citroen,powiesc,slone,czytam,Poznan,Niemcy,167.0,szatyn,nie,wf,przygodowe,1h,tak,nie,jesien,ksiazki papierowe,Tak,Czytanie,Facebook,nie,Codziennie,nie,Codziennie,nie,Podrozowanie,Rodzina,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Rodzina,woda,pokoj,pies,kobieta
Elegancki,hip-hop,fantasy,pilka nozna,skoki narciarskie,Apple,Fiat,powiesc,slone,spaceruje,Gdansk,Japonia,183.0,szatyn,tak,matematyka,strzelanki,1h,tak,nie,wiosna,ksiazki papierowe,Tak,sluchanie muzyki,Instagram,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Przyjaciele,Codziennie,Domowe jedzenie,Rodzina,woda,pokoj,kot,mezczyzna
Elegancki,pop,kryminal,silownia (fitness),skoki narciarskie,Lenovo,Toyota,powiesc,slone,spaceruje,Gdansk,Polska,173.0,szatyn,tak,fizyka,logiczne,1h,tak,nie,lato,ksiazki papierowe,Tak,Gry komputerowe,Instagram,tak,Kilka razy w tygodniu,nie,Codziennie,tak,Podrozowanie,Rodzina,Kilka razy w tygodniu,Kuchnia miedzynarodowa,Rodzina,herbata,salon,pies,kobieta
Elegancki,Jazz,familijne,tenis,bobsleje,Apple,BMW,esej,kwasne,spie,Poznan,Polska,181.0,blond,nie,matematyka,strategiczne,1h,tak,tak,lato,ebooki,Tak,sluchanie muzyki,Instagram,tak,Codziennie,nie,Codziennie,nie,Odpoczynek w domu,Przyjaciele,Rzadko,Domowe jedzenie,Kariera,woda,pokoj,pies,mezczyzna
nie dbam o mode,Klasyczna,fantasy,plywanie,skoki narciarskie,Microsoft,BMW,powiesc,slodkie,czytam,Poznan,Polska,176.0,szatyn,tak,historia,strategiczne,0 h,tak,nie,wiosna,ebooki,Nie,Gry komputerowe,nie uzywam,nie,Codziennie,nie,Codziennie,nie,Odpoczynek w domu,samotnie,Codziennie,Domowe jedzenie,Rodzina,woda,pokoj,"maly gryzon (kawia, mysz...)",mezczyzna
nie dbam o mode,hip-hop,fantasy,siatkowka,hokej na lodzie,Lenovo,Audi,powiesc,slone,spie,Wroclaw,Polska,183.0,szatyn,tak,fizyka,strategiczne,0 h,nie,nie,wiosna,ebooki,Tak,sluchanie muzyki,TikTok,nie,Kilka razy w tygodniu,nie,Codziennie,nie,Praca,Przyjaciele,Codziennie,Fast food,zdrowie,kawa,pokoj,pies,mezczyzna
nie dbam o mode,pop,fantasy,siatkowka,hokej na lodzie,Lenovo,Audi,powiesc,slone,spaceruje,Wroclaw,Polska,183.0,szatyn,tak,fizyka,strategiczne,0 h,nie,nie,wiosna,ebooki,Tak,sluchanie muzyki,TikTok,nie,Kilka razy w tygodniu,nie,Codziennie,nie,Praca,Przyjaciele,Codziennie,Fast food,zdrowie,woda,pokoj,pies,mezczyzna
Elegancki,pop,fantasy,siatkowka,skoki narciarskie,Apple,Audi,opowiadanie,slone,spaceruje,Wroclaw,Japonia,178.0,blond,nie,biologia,strzelanki,2h,nie,nie,wiosna,ksiazki papierowe,Tak,sluchanie muzyki,TikTok,tak,Codziennie,nie,Codziennie,tak,Podrozowanie,Rodzina,Kilka razy w tygodniu,Domowe jedzenie,Rodzina,woda,pokoj,kot,kobieta
nie dbam o mode,Rock,kryminal,silownia (fitness),hokej na lodzie,Apple,Audi,powiesc,kwasne,czytam,Wroclaw,Australia,175.0,blond,nie,fizyka,przygodowe,1h,tak,nie,wiosna,ksiazki papierowe,Nie,Czytanie,Instagram,tak,Kilka razy w tygodniu,tak,Kilka razy w tygodniu,nie,Podrozowanie,Przyjaciele,Rzadko,Kuchnia miedzynarodowa,Kariera,kolorowe napoje gazowane,salon,"maly gryzon (kawia, mysz...)",kobieta
Casual,pop,horror,silownia (fitness),skoki narciarskie,HP,Audi,opowiadanie,slodkie,czytam,Lublin,Japonia,173.0,czarny,nie,matematyka,karciane,1h,tak,nie,lato,ksiazki papierowe,Tak,Czytanie,TikTok,tak,Codziennie,tak,Codziennie,tak,Podrozowanie,Przyjaciele,Rzadko,Kuchnia miedzynarodowa,Przyjazn,woda,pokoj,kot,kobieta
Casual,pop,kryminal,silownia (fitness),lyzwiarstwo figurowe,Apple,BMW,powiesc,slodkie,spaceruje,Wroclaw,Stany Zjednoczone,168.0,biale,tak,biologia,strategiczne,1h,tak,nie,lato,ksiazki papierowe,Tak,sluchanie muzyki,TikTok,tak,Kilka razy w tygodniu,nie,Codziennie,nie,Podrozowanie,Przyjaciele,Rzadko,Domowe jedzenie,Kariera,woda,pokoj,kot,kobieta
Casual,Klasyczna,komedia,silownia (fitness),skoki narciarskie,Apple,Audi,esej,slone,spaceruje,Poznan,Niemcy,195.0,szatyn,nie,j. polski,przygodowe,1h,tak,nie,wiosna,ksiazki papierowe,Nie,Sport,nie uzywam,tak,Kilka razy w tygodniu,nie,Rzadko,nie,Podrozowanie,Przyjaciele,Codziennie,Kuchnia miedzynarodowa,Przyjazn,woda,pokoj,pies,mezczyzna
Casual,dance,kryminal,tenis,skoki narciarskie,Dell,Ford,opowiadanie,slodkie,ogladam telewizje,Poznan,Stany Zjednoczone,187.0,biale,nie,fizyka,strzelanki,2h,tak,tak,wiosna,ksiazki papierowe,Tak,Sport,Instagram,tak,Kilka razy w tygodniu,nie,Kilka razy w tygodniu,nie,Podrozowanie,Przyjaciele,Rzadko,Domowe jedzenie,Przyjazn,soki,salon,krolik,mezczyzna
